Time	E	B	G	F	I	J	C	H	K	D	A
33.8333333333333	0.531850772145003	0.00271085663903256	0.00908824229779079	0.01195207383482	0.00272296354158442	0.0736547278014875	0.00191309459917947	0.620203921028856	0.332278897071034	0.266254502774308	0.0401942624391302
34	0.531782685327916	0.00266274387277267	0.00900650974781537	0.0118367265966375	0.00268497644299141	0.0732568036139803	0.00190927550407554	0.622024699366778	0.333199937725357	0.267096830677129	0.0396255932049801
34.1666666666667	0.531711181035071	0.00261634282536954	0.00892447032417184	0.0117235307044504	0.00264772417633346	0.0728562108911379	0.00190500963399133	0.623869170139446	0.334117307883108	0.267946893820499	0.0390580293393535
34.3333333333333	0.531639858279857	0.00257163605121452	0.00884193078373941	0.0116124455314049	0.00261112717420663	0.0724521419657255	0.00190024396352821	0.625739424240443	0.335030147447103	0.268804397554138	0.0384912088376714
34.5	0.531572128270581	0.00252860478780104	0.00875871003097644	0.0115034301730442	0.00257511055245367	0.0720438357817632	0.00189492879211164	0.627637261237596	0.335937599369811	0.269668966088323	0.0379248038006114
34.6666666666667	0.531511214410477	0.00248722895572458	0.00867463911792034	0.0113964434473093	0.00253960411016398	0.0716305778945264	0.00188901774399119	0.629564189372977	0.33683880965335	0.270540142493883	0.0373585204341087
34.8333333333333	0.531460152297697	0.00244748715868265	0.00858956124418765	0.0112914438945383	0.00250454232967364	0.0712117004705455	0.00188246776824057	0.631521425562903	0.337732927349491	0.271417388702205	0.0367920990493551
35	0.531421789725318	0.00240935668347484	0.00850333175697398	0.0111883897774668	0.00246986437656541	0.0707865822876059	0.00187523913875757	0.633509895397932	0.338619104559655	0.272300085505229	0.0362253140627998
35.1666666666667	0.531398786681337	0.0023728135000028	0.00841581815105404	0.0110872390812277	0.00243551409966871	0.070354648734748	0.0018672954542641	0.63553023314287	0.339496496434916	0.273187532555451	0.0356579739961491
35.3333333333333	0.531393615348675	0.0023378322612702	0.00832690006878164	0.0109879495133513	0.00240144003105962	0.0699153718122674	0.00185860363830618	0.637582781736766	0.340364261175999	0.274078948365922	0.0350899214763661
35.5	0.531408560105173	0.00230438630338281	0.00823646930008967	0.0108904785037655	0.00236759538606092	0.0694682701317146	0.00184913393925397	0.639667592792912	0.341221560033278	0.274973470310248	0.0345210332356714
35.6666666666667	0.531445717523595	0.00227244764554841	0.00814442978249014	0.0107947832047953	0.00233393806324205	0.0690129089158953	0.0018388599303017	0.641784426598846	0.34206755730678	0.275870154622589	0.0339512201115424
35.8333333333333	0.531506996371628	0.00224198699007687	0.00805069760107413	0.0107008204911632	0.0023004306444191	0.0685488999988701	0.00182775850946773	0.643932752116348	0.342901420346185	0.276767976397661	0.0333804270467136
36	0.531594117611878	0.00221297372238009	0.00795520098851181	0.0106085469599891	0.00226704039465486	0.0680759018259548	0.00181580989959454	0.646111746981445	0.34372231955082	0.277665829590737	0.0328086330891768
36.1666666666667	0.531708614401878	0.00218537591097205	0.00785788032505248	0.0105179189307902	0.00223373926225877	0.06759361945372	0.00180299764834872	0.648320297504406	0.344529428369668	0.27856252701764	0.0322358513921806
36.3333333333333	0.531851832094078	0.00215916030746877	0.00775868813852449	0.0104288924454813	0.00220050387878697	0.0671018045499917	0.00178930862822095	0.650556998669746	0.34532192330136	0.279456800354753	0.031662129214231
36.5	0.532024928235853	0.00213429234658831	0.0076575891043353	0.0103414232683744	0.00216731555904223	0.0666002553938507	0.00177473303652604	0.652820154136223	0.34609898389418	0.280347300139012	0.0310875479190908
36.6666666666667	0.5322288725695	0.00211073614615082	0.00755456004547148	0.0102554668861788	0.00213416030107402	0.0660888168756329	0.00175926439540292	0.65510777623684	0.346859792746062	0.281232595767908	0.0305122229757801
36.8333333333333	0.532464447032236	0.00208845450707847	0.00744958993249868	0.0101709785080014	0.00210102878617848	0.0655673804969292	0.00174289955181462	0.657417585978843	0.347603535504593	0.282111175499486	0.029936303958576
37	0.532732245756202	0.0020674089133955	0.00734267988356164	0.0100879130653464	0.00206791637889841	0.0650358843705858	0.00172563867754827	0.659747013043723	0.348329400867009	0.282981446452349	0.0293599745470127
37.1666666666667	0.533032675068462	0.00204755953222821	0.0072338431643842	0.0100062252121154	0.00203482312702328	0.0644943132207036	0.00170748526921513	0.662093195787215	0.3490365805802	0.283841734605653	0.0287834525258816
37.3333333333333	0.533365953490998	0.00202886521380495	0.00712310518826929	0.00992586932460728	0.00200175376158925	0.0639426983826388	0.00168844614825058	0.6644529812393	0.349724269440704	0.284690284799109	0.0282069897852309
37.5	0.533732111740718	0.00201128349145612	0.00701050351609894	0.00984679950151845	0.00196871769687913	0.0633811178030025	0.00166853146091408	0.666822925104201	0.350391665294714	0.285525260732983	0.0276308723203662
37.6666666666667	0.53413099272945	0.00199477058161418	0.00689608785633428	0.00976896956394264	0.00193572903042241	0.062809696039661	0.00164775467828923	0.669199291760386	0.351037969038072	0.286344744968096	0.02705542023185
37.8333333333333	0.534562251563946	0.00197928138381365	0.00677992006501551	0.00969233305537096	0.00190280654299526	0.0622286042617356	0.00162613259628372	0.671578054260567	0.351662384616271	0.287146738925826	0.026480987725502
38	0.535025355545878	0.00196476948069109	0.00666207414576194	0.00961684324169191	0.0018699736986205	0.0616380602496025	0.00160368533562938	0.673954894331701	0.352264119024457	0.287929162888104	0.025907963112399
38.1666666666667	0.53551958417184	0.00195118713798512	0.00654263624977198	0.0095424531111914	0.00183725864456764	0.0610383283948931	0.00158043634188212	0.676325202374988	0.352842382307425	0.288689855997416	0.0253367688088748
38.3333333333333	0.53604402913335	0.00193848530453643	0.00642170467582313	0.00946911537455268	0.00180469421135285	0.0604297197004939	0.00155641238542199	0.678684077465874	0.353396387559625	0.289426576256804	0.0247678613365203
38.5	0.536597594316846	0.00192661361228774	0.00629938987027197	0.00939678246485641	0.00177231791273897	0.0598125917805463	0.00153164356145313	0.681026327354047	0.353925350925154	0.290137000529864	0.0242017313221835
38.6666666666667	0.53717899580369	0.00191552037628385	0.00617581442705419	0.00932540653758066	0.00174017194573553	0.0591873488604468	0.00150616329000381	0.683346468463441	0.354428491597763	0.290818724540748	0.0236389034979696
38.8333333333333	0.537786761870165	0.00190515259467159	0.00605111308768457	0.00925493947060084	0.00170830319059871	0.0585544417768471	0.00148000831592639	0.685638725892233	0.354905031820853	0.291469262874164	0.0230799367012408
39	0.538419232987475	0.00189545594869986	0.00592543274125697	0.00918533286418976	0.00167676321083137	0.0579143679776536	0.00145321870889735	0.687897033412846	0.355354196887477	0.292086048975372	0.0225254238746163
39.1666666666667	0.539074561821748	0.00188637480271961	0.00579893242444438	0.00911653804101764	0.00164560825318303	0.0572676715220282	0.00142583786341731	0.690115033471945	0.35577521514034	0.29266643515019	0.0219759920659726
39.3333333333333	0.539750713234033	0.00187785220418385	0.00567178332149884	0.00904850604615206	0.00161489924764991	0.0566149430803875	0.00139791249881095	0.692286077190442	0.356167317971797	0.293207692564989	0.0214323024284432
39.5	0.540445464280301	0.00186982988364764	0.00554416876425151	0.00898118764705797	0.00158470180747487	0.0559568199344033	0.00136949265922711	0.69440322436349	0.356529739823854	0.293707011246697	0.0208950502204185
39.6666666666667	0.541156404211446	0.0018622482547681	0.00541628423211264	0.00891453333359775	0.00155508622914746	0.0552939859770025	0.0013406317136387	0.696459243460488	0.356861718188169	0.294161500082795	0.0203649648055462
39.8333333333333	0.541880934473283	0.00185504641430439	0.00528833735207157	0.00884849331803113	0.00152612749240388	0.0546271717123668	0.00131138635584279	0.69844661162508	0.357162493606053	0.29456818682132	0.0198428096527312
40	0.542616268706549	0.00184816214211775	0.00516054789869673	0.00878301753501523	0.00149790526022703	0.0539571542559332	0.00128181660446051	0.700357514675153	0.357431309668464	0.294924018070864	0.0193293823361352
40.1666666666667	0.543359432746904	0.00184153190117144	0.00503314779413567	0.00871805564160457	0.00147050387884646	0.0532847573343937	0.00125198580293714	0.702183847102838	0.357667413016017	0.295225859300575	0.0188255145351772
40.3333333333333	0.544107264624929	0.00183509083753081	0.00490638110811499	0.00865355701725104	0.0014440123777384	0.0526108512856953	0.00122196061954205	0.703917212074511	0.357870053338972	0.295470494840154	0.0183320720345331
40.5	0.544856414566128	0.00182877278036325	0.00478050405794043	0.00858947076380393	0.00141852446962575	0.0519363530590401	0.00119181104736874	0.705548921430792	0.358038483377246	0.295654627879859	0.0178499547241362
